Year,Code,Constituency,PC_Electors,Region,Party Abbreviation,Party,Candidate Votes,Share of Vote,Total constituency votes,Majority Party,Majority,Majority %,Probability,Normalised population,Index
2017,E14000595,Bridgwater and West Somerset,89294,South West,C,Conservative,32111,55.11%,58267,C,15448,26.51%,0.02566724,0.80678433,0.041415854
2017,E14000981,Suffolk Coastal,79366,East,C,Conservative,33713,58.05%,58074,C,16012,27.57%,0.022795784,0.907706071,0.041383742
2017,E14000866,Nottingham North,66886,East Midlands,Lab,Labour,23067,60.20%,38319,Lab,11160,29.12%,0.019158138,1.077071435,0.041269366
2017,E14000784,Leicester West,64843,East Midlands,Lab,Labour,22823,60.84%,37512,Lab,11060,29.48%,0.018401119,1.111006585,0.040887528
2017,E14000941,South Norfolk,83055,East,C,Conservative,35580,58.22%,61111,C,16678,27.29%,0.023523031,0.86738908,0.040807241
2017,E14000850,North Somerset,80529,South West,C,Conservative,33605,54.21%,61994,C,17103,27.59%,0.022753862,0.894596977,0.040711072
2017,E14000551,Beckenham,67925,London,C,Conservative,30632,59.33%,51630,C,15087,29.22%,0.018950176,1.060596246,0.040196971
2017,E14000881,Poole,73796,South West,C,Conservative,28888,57.95%,49850,C,14209,28.50%,0.020536729,0.976218223,0.040096657
2017,E14000904,Rotherham,63237,Yorkshire and The Humber,Lab,Labour,21404,56.44%,37923,Lab,11387,30.03%,0.017315901,1.139222291,0.039453321
2017,E14000683,East Yorkshire,81065,Yorkshire and The Humber,C,Conservative,31442,58.27%,53956,C,15006,27.81%,0.022191614,0.888681922,0.039442573
2017,E14001015,Wantage,85786,South East,C,Conservative,34459,54.18%,63602,C,17380,27.33%,0.023431363,0.839775721,0.039354179
2017,E14000603,Broadland,77334,East,C,Conservative,32406,57.90%,55971,C,15816,28.26%,0.021110471,0.931556625,0.039331198
2017,E14000805,Makerfield,74259,North West,Lab,Labour,28245,60.18%,46933,Lab,13542,28.85%,0.019746406,0.970131567,0.038313224
2017,E14000840,North Durham,66970,North East,Lab,Labour,25917,59.88%,43284,Lab,12939,29.89%,0.017576497,1.075720472,0.037814796
2017,W07000077,Islwyn,56256,Wales,Lab,Labour,21238,58.84%,36093,Lab,11412,31.62%,0.014488516,1.280592292,0.037107764
2017,E14000754,Houghton and Sunderland South,68123,North East,Lab,Labour,24765,59.56%,41580,Lab,12441,29.92%,0.017522697,1.057513615,0.03706098
2017,E14000985,Sutton Coldfield,75652,West Midlands,C,Conservative,32224,60.96%,52858,C,15339,29.02%,0.01938406,0.952268281,0.036917651
2017,E14000544,Basildon and Billericay,69149,East,C,Conservative,27381,60.96%,44918,C,13400,29.83%,0.017697238,1.041822731,0.03687477
2017,E14000586,Bracknell,79199,South East,C,Conservative,32882,58.83%,55892,C,16016,28.66%,0.020190629,0.909620071,0.036731602
2017,E14000801,Luton South,67188,East,Lab,Labour,28804,62.44%,46133,Lab,13925,30.18%,0.017012491,1.07223016,0.036482612
2017,E14000987,Tatton,67874,North West,C,Conservative,28764,58.56%,49116,C,14787,30.11%,0.017162124,1.06139317,0.036431522
2017,E14000916,Sefton Central,69019,North West,Lab,Labour,32830,63.04%,52079,Lab,15618,29.99%,0.017388932,1.043785045,0.036300615
2017,E14000743,Hereford and South Herefordshire,71088,West Midlands,C,Conservative,27004,53.49%,50484,C,15013,29.74%,0.017884546,1.013405919,0.03624861
2017,E14000698,Exeter,77330,South West,Lab,Labour,34336,61.95%,55423,Lab,16117,29.08%,0.019252671,0.931604811,0.035871762
2017,E14000950,South West Devon,71260,South West,C,Conservative,31634,59.85%,52857,C,15816,29.92%,0.017519541,1.010959865,0.035423105
2017,W07000080,Cardiff South and Penarth,76499,Wales,Lab,Labour,30182,59.49%,50736,Lab,14864,29.30%,0.018790885,0.941724728,0.035391682
2017,E14000816,Mid Norfolk,80027,East,C,Conservative,32828,58.97%,55668,C,16086,28.90%,0.019652822,0.90020868,0.035383282
2017,E14000724,Haltemprice and Howden,71519,Yorkshire and The Humber,C,Conservative,31355,60.95%,51440,C,15405,29.95%,0.017470029,1.00729876,0.035195077
2017,E14000778,Leeds East,65950,Yorkshire and The Humber,Lab,Labour,25428,61.36%,41441,Lab,12752,30.77%,0.01593001,1.092357847,0.034802544
2017,E14000800,Luton North,66811,East,Lab,Labour,29765,63.84%,46622,Lab,14364,30.81%,0.015862302,1.078280523,0.034208022
2017,E14000897,Rochdale,78064,North West,Lab,Labour,29035,58.02%,50044,Lab,14819,29.61%,0.018139115,0.922845358,0.033479196
2017,E14000849,North Shropshire,80535,West Midlands,C,Conservative,33642,60.51%,55599,C,16355,29.42%,0.018541593,0.894530328,0.033172034
2017,E14000855,North West Cambridgeshire,93221,East,C,Conservative,37529,58.65%,63991,C,18008,28.14%,0.021386607,0.772797975,0.033055053
2017,E14000836,"Normanton, Pontefract and Castleford",81641,Yorkshire and The Humber,Lab,Labour,29268,59.50%,49191,Lab,14499,29.47%,0.018419665,0.882412023,0.032507468
2017,E14000579,Bolton South East,68886,North West,Lab,Labour,25676,60.67%,42323,Lab,13126,31.01%,0.015503328,1.045800308,0.03242677
2017,E14000864,Norwich South,74182,East,Lab,Labour,31311,60.96%,51359,Lab,15596,30.37%,0.016668905,0.971138551,0.032375632
2017,E14000601,Bristol South,83012,South West,Lab,Labour,32666,60.07%,54382,Lab,15987,29.40%,0.018579847,0.867838385,0.032248608
2017,E14000701,Feltham and Heston,81714,London,Lab,Labour,32562,61.29%,53127,Lab,15703,29.56%,0.018250105,0.881623712,0.032179451
2017,E14001004,Tunbridge Wells,74782,South East,C,Conservative,30856,56.92%,54209,C,16465,30.37%,0.01665668,0.963346795,0.032092319
2017,W07000069,Neath,55862,Wales,Lab,Labour,21713,56.71%,38285,Lab,12631,32.99%,0.012422388,1.289624432,0.032040431
2017,E14000927,Sittingbourne and Sheppey,81717,South East,C,Conservative,30911,60.15%,51389,C,15211,29.60%,0.018163961,0.881591346,0.032026382
2017,E14000923,"Sheffield, Heeley",68040,Yorkshire and The Humber,Lab,Labour,26524,59.97%,44226,Lab,13828,31.27%,0.015070519,1.058803645,0.03191344
2017,E14000845,North East Hertfordshire,75965,East,C,Conservative,32587,58.63%,55580,C,16835,30.29%,0.016813208,0.948344632,0.031889431
2017,E14001047,Woking,76170,South East,C,Conservative,29903,54.13%,55246,C,16724,30.27%,0.016846756,0.945792307,0.031867064
2017,E14000605,Bromsgrove,73571,West Midlands,C,Conservative,33493,61.98%,54040,C,16573,30.67%,0.016115627,0.979203762,0.031560966
2017,E14000815,Mid Dorset and North Poole,65050,South West,C,Conservative,28585,59.24%,48254,C,15339,31.79%,0.014215712,1.107471176,0.031486982
2017,E14000536,Ashford,87387,South East,C,Conservative,35318,58.98%,59879,C,17478,29.19%,0.01901932,0.824390356,0.031358688
2017,E14000719,Guildford,75291,South East,C,Conservative,30295,54.58%,55509,C,17040,30.70%,0.016062108,0.95683415,0.030737546
2017,E14000624,Central Suffolk and North Ipswich,78116,East,C,Conservative,33992,60.16%,56504,C,17185,30.41%,0.016581128,0.922231041,0.030583262
2017,E14000613,Bury St Edmunds,86071,East,C,Conservative,36794,59.19%,62160,C,18441,29.67%,0.018027627,0.836995039,0.030178068
2017,E14001020,Washington and Sunderland West,67280,North East,Lab,Labour,24639,60.73%,40574,Lab,12940,31.89%,0.014050605,1.070763971,0.030089764
2017,E14000567,"Birmingham, Selly Oak",74370,West Midlands,Lab,Labour,30836,62.95%,48985,Lab,15207,31.04%,0.015450757,0.968683609,0.02993379
2017,E14000867,Nottingham South,71182,East Midlands,Lab,Labour,30013,62.36%,48129,Lab,15162,31.50%,0.014677129,1.012067658,0.029708496
2017,E14000869,Old Bexley and Sidcup,66005,London,C,Conservative,29545,61.50%,48042,C,15466,32.19%,0.013585861,1.091447618,0.029656512
2017,E14000592,Brent North,82567,London,Lab,Labour,35496,62.89%,56444,Lab,17061,30.23%,0.016932742,0.872515654,0.029548165
2017,S14000024,Edinburgh South,64553,Scotland,Lab,Labour,26269,54.91%,47840,Lab,15514,32.43%,0.013231071,1.115997707,0.029531691
2017,E14000779,Leeds North East,70112,Yorkshire and The Humber,Lab,Labour,33436,63.09%,52999,Lab,16991,32.06%,0.01379063,1.027513122,0.028340107
2017,E14000930,Slough,83272,South East,Lab,Labour,34170,61.45%,55603,Lab,16998,30.57%,0.016292995,0.865128735,0.028191077
2017,E14000542,Barnsley East,69214,Yorkshire and The Humber,Lab,Labour,24218,59.48%,40714,Lab,13221,32.47%,0.013166133,1.040844338,0.02740779
2017,E14000762,Isle of Wight,110683,South East,C,Conservative,38190,51.28%,74479,C,21069,28.29%,0.021037254,0.650876828,0.027385323
2017,E14001048,Wokingham,79111,South East,C,Conservative,33806,56.64%,59690,C,18798,31.49%,0.014693781,0.910631897,0.026761251
2017,E14000751,Hornchurch and Upminster,80802,London,C,Conservative,33750,60.15%,56107,C,17723,31.59%,0.014538029,0.891574466,0.025923471
2017,E14000912,Salisbury,72892,South West,C,Conservative,30952,58.06%,53311,C,17333,32.51%,0.013107089,0.988325193,0.025908133
2017,E14000745,Hertsmere,73561,East,C,Conservative,31928,61.10%,52253,C,16951,32.44%,0.013214318,0.979336877,0.025882537
2017,E14000730,Harrogate and Knaresborough,77280,Yorkshire and The Humber,C,Conservative,31477,55.48%,56740,C,18168,32.02%,0.013851552,0.932207557,0.025825044
2017,E14000938,South East Cornwall,71880,South West,C,Conservative,29493,55.42%,53214,C,17443,32.78%,0.012722393,1.002239844,0.025501779
2017,E14000755,Hove,74236,South East,Lab,Labour,36942,64.14%,57596,Lab,18757,32.57%,0.013028775,0.970432135,0.025287084
2017,E14000744,Hertford and Stortford,82339,East,C,Conservative,36184,60.31%,59992,C,19035,31.73%,0.014309652,0.874931685,0.025039936
2017,E14000893,Reigate,74628,South East,C,Conservative,30896,57.40%,53823,C,17614,32.73%,0.012798398,0.965334727,0.024709477
2017,E14001059,Wythenshawe and Sale East,76361,North West,Lab,Labour,28525,62.22%,45846,Lab,14944,32.60%,0.012985675,0.943426618,0.024502064
2017,E14000946,South Suffolk,75485,East,C,Conservative,32829,60.53%,54235,C,17749,32.73%,0.01279795,0.954375041,0.024428087
2017,E14000669,Doncaster North,72377,Yorkshire and The Humber,Lab,Labour,25711,60.77%,42312,Lab,14024,33.14%,0.012212387,0.995357641,0.024311386
2017,E14000835,Newton Abbot,71714,South West,C,Conservative,28635,55.45%,51637,C,17160,33.23%,0.012092988,1.004559779,0.024296259
2017,E14001031,West Dorset,82277,South West,C,Conservative,33081,55.51%,59598,C,19091,32.03%,0.013831066,0.875590991,0.024220714
2017,E14000951,South West Hertfordshire,81087,East,C,Conservative,35128,57.92%,60653,C,19550,32.23%,0.013525328,0.88844081,0.024032907
2017,E14000817,Mid Sussex,84170,South East,C,Conservative,35082,56.92%,61632,C,19673,31.92%,0.014006986,0.855898776,0.023977124
2017,E14000877,Penrith and The Border,65139,North West,C,Conservative,28078,60.42%,46470,C,15910,34.24%,0.010805423,1.105958028,0.023900689
2017,E14000829,Newark,75510,East Midlands,C,Conservative,34493,62.67%,55042,C,18149,32.97%,0.012448895,0.954059065,0.023753961
2017,E14000606,Broxbourne,73502,East,C,Conservative,29515,62.16%,47485,C,15792,33.26%,0.012059401,0.98012299,0.023639392
2017,E14000707,Gainsborough,75893,East Midlands,C,Conservative,31790,61.82%,51425,C,17023,33.10%,0.012269537,0.949244331,0.023293577
2017,E14001034,West Suffolk,77348,East,C,Conservative,31649,61.16%,51746,C,17063,32.97%,0.012446766,0.931388013,0.023185537
2017,E14000940,South Leicestershire,78985,East Midlands,C,Conservative,34795,61.38%,56689,C,18631,32.87%,0.012599996,0.912084573,0.022984523
2017,W07000072,Blaenau Gwent,51227,Wales,Lab,Labour,18787,58.01%,32384,Lab,11907,36.77%,0.008138245,1.406309173,0.022889776
2017,E14000583,Bosworth,81661,East Midlands,C,Conservative,31864,56.73%,56168,C,18351,32.67%,0.012876266,0.882195907,0.022718778
2017,E14000969,Stockport,64236,North West,Lab,Labour,26282,63.26%,41544,Lab,14477,34.85%,0.010091569,1.121505075,0.022635492
2017,E14000649,Coventry North East,75759,West Midlands,Lab,Labour,29499,63.43%,46508,Lab,15580,33.50%,0.011735887,0.950923323,0.022319858
2017,E14000531,Aldridge-Brownhills,60363,West Midlands,C,Conservative,26317,65.41%,40235,C,14307,35.56%,0.00931891,1.193462883,0.022243546
2017,E14001028,Wentworth and Dearne,74890,Yorkshire and The Humber,Lab,Labour,28547,64.96%,43947,Lab,14803,33.68%,0.011496326,0.961957538,0.022117955
2017,E14000954,South West Wiltshire,76898,South West,C,Conservative,32841,59.98%,54751,C,18326,33.47%,0.011772852,0.936838409,0.02205852
2017,E14001039,Wigan,75359,North West,Lab,Labour,29575,62.21%,47542,Lab,16027,33.71%,0.011460985,0.955970753,0.021912733
2017,E14000841,North East Bedfordshire,87505,East,C,Conservative,39139,60.95%,64220,C,20862,32.49%,0.013147938,0.82327867,0.021648833
2017,E14000700,Faversham and Mid Kent,66425,South East,C,Conservative,30390,61.09%,49749,C,17413,35.00%,0.009918649,1.084546481,0.021514472
2017,E14000975,Stone,67824,West Midlands,C,Conservative,31614,63.19%,50032,C,17495,34.97%,0.009956589,1.062175631,0.021151293
2017,E14000944,South Shields,63433,North East,Lab,Labour,25078,61.51%,40772,Lab,14508,35.58%,0.009293218,1.135702237,0.021108656
2017,E14000736,Havant,72470,South East,C,Conservative,27676,59.76%,46314,C,15956,34.45%,0.010548758,0.994080309,0.020972625
2017,E14000767,Kenilworth and Southam,66319,West Midlands,C,Conservative,31207,60.82%,51311,C,18086,35.25%,0.009648999,1.08627995,0.020963029
2017,E14000576,Bognor Regis and Littlehampton,75827,South East,C,Conservative,30276,58.96%,51352,C,17494,34.07%,0.011013511,0.950070555,0.020927226
2017,E14000813,Mid Bedfordshire,84161,East,C,Conservative,38936,61.66%,63148,C,20983,33.23%,0.012097995,0.855990304,0.020711532
2017,E14000804,Maidstone and The Weald,75334,South East,C,Conservative,29136,56.36%,51696,C,17704,34.25%,0.01079427,0.956287997,0.020644861
2017,E14000993,Thirsk and Malton,78670,Yorkshire and The Humber,C,Conservative,33572,60.03%,55929,C,19001,33.97%,0.011129329,0.915736621,0.020383068
2017,E14000661,Denton and Reddish,67674,North West,Lab,Labour,25161,63.54%,39599,Lab,14077,35.55%,0.009329056,1.064529952,0.019862119
2017,E14000791,Lichfield,74430,West Midlands,C,Conservative,34018,63.56%,53524,C,18581,34.72%,0.010242012,0.967902727,0.019826543
2017,E14000713,Gosport,74152,South East,C,Conservative,30647,61.94%,49481,C,17211,34.78%,0.010164556,0.971531449,0.019750371
2017,E14000928,Skipton and Ripon,78104,Yorkshire and The Humber,C,Conservative,36425,62.65%,58138,C,19985,34.38%,0.01063974,0.922372734,0.019627612
2017,W07000074,Ogmore,57125,Wales,Lab,Labour,23225,62.43%,37204,Lab,13871,37.28%,0.007681709,1.261111597,0.019374985
2017,E14000996,Tiverton and Honiton,80731,South West,C,Conservative,35471,61.35%,57815,C,19801,34.25%,0.010791207,0.892358574,0.019259251
2017,E14000901,Romsey and Southampton North,67186,South East,C,Conservative,28668,57.14%,50168,C,18006,35.89%,0.008977943,1.072262078,0.019253415
2017,E14000907,Runnymede and Weybridge,74888,South East,C,Conservative,31436,60.91%,51609,C,18050,34.97%,0.009948899,0.961983228,0.019141347
2017,E14000694,Epsom and Ewell,80029,South East,C,Conservative,35313,59.58%,59266,C,20475,34.55%,0.010436124,0.900186183,0.018788909
2017,W07000048,Swansea East,58521,Wales,Lab,Labour,22307,63.45%,35159,Lab,13168,37.45%,0.007537602,1.231028178,0.018558
2017,E14000590,Braintree,75316,East,C,Conservative,32873,62.82%,52326,C,18422,35.21%,0.009694056,0.956516544,0.018545049
2017,E14001061,York Central,77315,Yorkshire and The Humber,Lab,Labour,34594,65.16%,53088,Lab,18575,34.99%,0.009932694,0.931785553,0.018510281
2017,E14000952,South West Norfolk,77874,East,C,Conservative,32894,62.76%,52416,C,18312,34.94%,0.009992028,0.925096951,0.018487189
2017,E14001000,Torridge and West Devon,80524,South West,C,Conservative,33612,56.51%,59480,C,20686,34.78%,0.010170217,0.894652526,0.01819762
2017,E14000726,Hammersmith,72803,London,Lab,Labour,33375,63.87%,52252,Lab,18651,35.69%,0.009178313,0.989533398,0.018164495
2017,E14000625,Charnwood,78071,East Midlands,C,Conservative,33318,63.06%,52836,C,18681,35.36%,0.009532163,0.922762614,0.017591848
2017,E14001046,Witney,82727,South East,C,Conservative,33839,55.54%,60927,C,21241,34.86%,0.010073905,0.870828146,0.01754528
2017,E14000642,Clacton,68566,East,C,Conservative,27031,62.58%,43197,C,15828,36.64%,0.008254575,1.050681096,0.017345851
2017,E14000812,Meriden,81443,West Midlands,C,Conservative,33873,61.99%,54643,C,19198,35.13%,0.009773316,0.884557298,0.017290115
2017,E14000693,Epping Forest,74737,East,C,Conservative,31462,61.96%,50779,C,18243,35.93%,0.008942954,0.963926837,0.017240707
2017,E14000953,South West Surrey,78042,South East,C,Conservative,33683,55.74%,60432,C,21590,35.73%,0.009145704,0.923105507,0.0168849
2017,E14000714,Grantham and Stamford,81740,East Midlands,C,Conservative,35090,62.00%,56593,C,20094,35.51%,0.009373798,0.881343284,0.016523069
2017,E14000942,South Northamptonshire,85759,East Midlands,C,Conservative,40599,62.46%,64998,C,22840,35.14%,0.009766707,0.840040112,0.016408851
2017,E14000931,Solihull,77789,West Midlands,C,Conservative,32985,58.13%,56748,C,20571,36.25%,0.008624765,0.926107804,0.015974924
2017,E14000962,St Helens North,76088,North West,Lab,Labour,32012,63.74%,50222,Lab,18406,36.65%,0.008247326,0.946811587,0.015617328
2017,E14000781,Leeds West,67955,Yorkshire and The Humber,Lab,Labour,27013,63.97%,42229,Lab,15965,37.81%,0.007245362,1.060128026,0.015362022
2017,E14000568,"Birmingham, Yardley",72581,West Midlands,Lab,Labour,25398,57.07%,44502,Lab,16574,37.24%,0.007716507,0.992560036,0.015318194
2017,E14000932,Somerton and Frome,84437,South West,C,Conservative,36231,56.97%,63592,C,22906,36.02%,0.008849311,0.853192321,0.015100329
2017,E14000819,Middlesbrough,61059,North East,Lab,Labour,23404,65.67%,35637,Lab,13873,38.93%,0.006389144,1.179858825,0.015076575
2017,E14000772,Kingston upon Hull North,64665,Yorkshire and The Humber,Lab,Labour,23625,63.68%,37102,Lab,14262,38.44%,0.006748571,1.114064795,0.01503669
2017,E14001045,Witham,69137,East,C,Conservative,31670,64.32%,49241,C,18646,37.87%,0.007195994,1.042003558,0.014996502
2017,E14000675,Ealing North,74764,London,Lab,Labour,34635,65.95%,52516,Lab,19693,37.50%,0.007498588,0.963578728,0.01445096
2017,E14000831,Newcastle upon Tyne Central,55368,North East,Lab,Labour,24071,64.89%,37094,Lab,14937,40.27%,0.005499162,1.301130617,0.014310256
2017,E14001008,Vauxhall,82055,London,Lab,Labour,31576,57.37%,55042,Lab,20250,36.79%,0.00811828,0.877959905,0.014255048
2017,E14000871,Oldham West and Royton,72401,North West,Lab,Labour,29846,65.81%,45349,Lab,17198,37.92%,0.007150329,0.995027693,0.01422955
2017,E14000853,North Tyneside,78914,North East,Lab,Labour,33456,64.47%,51892,Lab,19284,37.16%,0.007787242,0.912905188,0.014218027
2017,E14000872,Orpington,67902,London,C,Conservative,31762,62.93%,50469,C,19453,38.54%,0.006670063,1.060955495,0.014153281
2017,E14000798,Louth and Horncastle,79007,East Midlands,C,Conservative,33733,63.92%,52771,C,19641,37.22%,0.007737246,0.911830597,0.014110115
2017,E14000737,Hayes and Harlington,73268,London,Lab,Labour,31796,66.52%,47802,Lab,18115,37.90%,0.00717259,0.983253262,0.014104946
2017,E14001035,West Worcestershire,74375,West Midlands,C,Conservative,34703,61.45%,56471,C,21328,37.77%,0.007276032,0.968618487,0.014095398
2017,E14000799,Ludlow,68034,West Midlands,C,Conservative,31433,62.90%,49970,C,19286,38.60%,0.006632292,1.058897022,0.014045829
2017,E14000582,Boston and Skegness,68402,East Midlands,C,Conservative,27271,63.60%,42879,C,16572,38.65%,0.006592942,1.053200199,0.013887376
2017,E14000557,Bexhill and Battle,81331,South East,C,Conservative,36854,61.97%,59472,C,22165,37.27%,0.007693751,0.885775412,0.013629871
2017,W07000052,Rhondda,50514,Wales,Lab,Labour,21096,64.05%,32936,Lab,13746,41.74%,0.00466568,1.426159085,0.013308003
2017,W07000070,Cynon Valley,51334,Wales,Lab,Labour,19404,61.02%,31802,Lab,13238,41.63%,0.00472308,1.403377878,0.013256531
2017,E14000699,Fareham,78837,South East,C,Conservative,35915,62.99%,57014,C,21555,37.81%,0.007244769,0.913796821,0.013240494
2017,E14000635,Chippenham,76432,South West,C,Conservative,31267,59.49%,52562,C,20031,38.11%,0.00700321,0.942550241,0.013201755
2017,E14000541,Barnsley Central,64204,Yorkshire and The Humber,Lab,Labour,24982,63.91%,39089,Lab,15546,39.77%,0.00581407,1.122064046,0.013047517
2017,E14000753,Horsham,82772,South East,C,Conservative,36906,59.54%,61987,C,23484,37.89%,0.007181063,0.870354709,0.012500144
2017,E14000765,Jarrow,64778,North East,Lab,Labour,28020,65.13%,43023,Lab,17263,40.13%,0.005587895,1.112121399,0.012428834
2017,E14000633,Chichester,84991,South East,C,Conservative,36032,60.14%,59918,C,22621,37.75%,0.007288098,0.847630926,0.012355235
2017,E14000979,Stretford and Urmston,71833,North West,Lab,Labour,33519,66.78%,50191,Lab,19705,39.26%,0.006156356,1.002895605,0.012348366
2017,E14000990,Tewkesbury,81440,South West,C,Conservative,35448,60.00%,59084,C,22574,38.21%,0.006927275,0.884589882,0.012255595
2017,E14000742,Henley,74997,South East,C,Conservative,33749,59.11%,57099,C,22294,39.04%,0.006306796,0.96058509,0.012116429
2017,E14000660,Daventry,75268,East Midlands,C,Conservative,35464,63.71%,55663,C,21734,39.05%,0.006305935,0.957126535,0.012071156
2017,E14000718,Greenwich and Woolwich,77190,London,Lab,Labour,34215,64.43%,53106,Lab,20714,39.01%,0.006334729,0.933294468,0.011824336
2017,E14000677,Easington,62385,North East,Lab,Labour,23152,63.67%,36364,Lab,14892,40.95%,0.005093259,1.154780797,0.011763196
2017,E14000857,North West Hampshire,81430,South East,C,Conservative,36471,62.06%,58772,C,22679,38.59%,0.006637534,0.884698514,0.011744433
2017,E14001016,Warley,63739,West Midlands,Lab,Labour,27004,67.16%,40206,Lab,16483,41.00%,0.005068347,1.130249925,0.011456998
2017,E14000977,Stratford-on-Avon,72572,West Midlands,C,Conservative,32657,62.17%,52532,C,20958,39.90%,0.005733302,0.992683128,0.011382704
2017,E14000697,Esher and Walton,80938,South East,C,Conservative,35071,58.61%,59842,C,23298,38.93%,0.006386367,0.890076355,0.011368709
2017,E14000631,Chesham and Amersham,71654,South East,C,Conservative,33514,60.66%,55252,C,22140,40.07%,0.005621857,1.005400955,0.01130444
2017,E14001023,Wealden,81425,South East,C,Conservative,37027,61.24%,60464,C,23628,39.08%,0.006283296,0.88475284,0.011118328
2017,E14000709,Gateshead,65186,North East,Lab,Labour,27426,65.14%,42103,Lab,17350,41.21%,0.004949369,1.105160617,0.010939695
2017,E14000929,Sleaford and North Hykeham,90929,East Midlands,C,Conservative,42245,64.21%,65797,C,25237,38.36%,0.006812456,0.792277491,0.010794711
2017,E14000534,Arundel and South Downs,79478,South East,C,Conservative,37573,62.36%,60256,C,23883,39.64%,0.005902575,0.906426936,0.010700507
2017,N06000005,East Antrim,62908,Northern Ireland,DUP,Democratic Unionist Party,21873,57.34%,38143,DUP,15923,41.75%,0.004660431,1.145180263,0.010674068
2017,W07000050,Cardiff Central,59288,Wales,Lab,Labour,25193,62.41%,40367,Lab,17196,42.60%,0.004235507,1.21510255,0.01029315
2017,E14000909,Rutland and Melton,78463,East Midlands,C,Conservative,36169,62.83%,57569,C,23104,40.13%,0.005583102,0.918152505,0.010252278
2017,E14000911,Salford and Eccles,78080,North West,Lab,Labour,31168,65.45%,47619,Lab,19132,40.18%,0.005555327,0.92265625,0.010251313
2017,E14000830,Newbury,82924,South East,C,Conservative,37399,61.46%,60849,C,24380,40.07%,0.005624725,0.868759346,0.009773064
2017,E14000842,North East Cambridgeshire,84414,East,C,Conservative,34340,64.45%,53284,C,21270,39.92%,0.005718878,0.853424787,0.009761264
2017,E14000566,"Birmingham, Perry Barr",70106,West Midlands,Lab,Labour,30109,68.12%,44199,Lab,18383,41.59%,0.004741564,1.027601061,0.009744872
2017,E14000681,East Surrey,82004,South East,C,Conservative,35310,59.64%,59203,C,23914,40.39%,0.005422555,0.878505927,0.009527493
2017,E14000895,Richmond (Yorks),80905,Yorkshire and The Humber,C,Conservative,36458,63.95%,57013,C,23108,40.53%,0.005339458,0.890439404,0.009508927
2017,E14001042,Windsor,73595,South East,C,Conservative,34718,64.39%,53921,C,22384,41.51%,0.004783626,0.978884435,0.009365234
2017,E14000665,Devizes,72184,South West,C,Conservative,31744,62.74%,50593,C,21136,41.78%,0.004644282,0.998018952,0.009270162
2017,E14000764,Islington South and Finsbury,69536,London,Lab,Labour,30188,62.83%,48049,Lab,20263,42.17%,0.004443296,1.036024505,0.009206726
2017,E14000622,Castle Point,69470,East,C,Conservative,30076,67.27%,44710,C,18872,42.21%,0.004424295,1.037008781,0.009176065
2017,E14000997,Tonbridge and Malling,77417,South East,C,Conservative,36218,63.64%,56907,C,23508,41.31%,0.004893675,0.930557888,0.009107696
2017,E14000885,Preston,57791,North West,Lab,Labour,24210,67.74%,35741,Lab,15723,43.99%,0.003623936,1.246578187,0.009035039
2017,E14000910,Saffron Walden,83072,East,C,Conservative,37629,61.78%,60911,C,24966,40.99%,0.005073287,0.867211576,0.008799227
2017,E14000847,North Herefordshire,67751,West Midlands,C,Conservative,31097,61.97%,50177,C,21602,43.05%,0.004026225,1.063320099,0.008562332
2017,E14000570,Blackburn,70664,North West,Lab,Labour,33148,69.77%,47512,Lab,20368,42.87%,0.004109334,1.019486584,0.008378823
2017,E14000918,Sevenoaks,71565,South East,C,Conservative,32644,63.74%,51218,C,21917,42.79%,0.004145193,1.006651296,0.008345527
2017,E14000818,Mid Worcestershire,76057,West Midlands,C,Conservative,35967,65.29%,55089,C,23326,42.34%,0.004359077,0.947197497,0.008257813
2017,N06000009,Lagan Valley,72380,Northern Ireland,DUP,Democratic Unionist Party,26762,59.57%,44926,DUP,19229,42.80%,0.004140599,0.995316386,0.008242413
2017,E14000824,Mole Valley,74545,South East,C,Conservative,35092,61.86%,56726,C,24137,42.55%,0.004258815,0.966409551,0.008231519
2017,E14000827,New Forest East,72602,South East,C,Conservative,32162,62.61%,51366,C,21995,42.82%,0.004131956,0.99227294,0.008200056
2017,N06000012,North Antrim,75657,Northern Ireland,DUP,Democratic Unionist Party,28521,58.85%,48460,DUP,20643,42.60%,0.004236045,0.952205348,0.008067169
2017,E14000888,Rayleigh and Wickford,78556,East,C,Conservative,36914,66.72%,55323,C,23450,42.39%,0.004337142,0.917065533,0.007954886
2017,E14000782,Leicester East,77788,East Midlands,Lab,Labour,35116,66.98%,52424,Lab,22428,42.78%,0.004149682,0.92611971,0.007686205
2017,E14000788,Lewisham West and Penge,72899,London,Lab,Labour,35411,66.57%,53196,Lab,23162,43.54%,0.003811531,0.988230291,0.007533341
2017,E14000991,The Cotswolds,80449,South West,C,Conservative,36201,60.64%,59702,C,25499,42.71%,0.004183032,0.895486582,0.007491698
2017,E14000860,North Wiltshire,71408,South West,C,Conservative,32398,62.08%,52189,C,22877,43.83%,0.003688052,1.008864553,0.00744149
2017,E14000873,Oxford East,78350,South East,Lab,Labour,35118,65.16%,53896,Lab,23284,43.20%,0.003959094,0.919476707,0.00728059
2017,E14000823,Mitcham and Morden,68705,London,Lab,Labour,33039,68.66%,48118,Lab,21375,44.42%,0.00345333,1.048555418,0.007242016
